series,model_family,model,MAE,RMSE,MAPE,sMAPE,AIC,BIC
total,Box-Jenkins,"ARIMA(2,1,1)",25.47723715397124,33.94429740134368,7.150660547522758,7.462358537947798,2192.210651823748,2209.837916519407
total,Baseline,12-Month Rolling Average,28.809845002083335,36.54798996834394,8.225454205682572,8.49699328665407,,
total,Box-Jenkins,AR(2),30.211959859082025,40.573070448153565,8.334537410716385,8.930881851696821,2204.917221116504,2219.0349374665498
total,Box-Jenkins,MA(2),31.041862865237494,42.546065304867746,8.529176014548383,9.181854315720017,2239.4007839054466,2253.502595661974
total,Box-Jenkins,"ARMA(1,1)",31.77517738904793,42.760291367690854,8.776238129305103,9.427014931692527,2263.205330957778,2277.323047307824
total,Box-Jenkins,MA(1),31.818918798913415,42.7784193859121,8.805064329118428,9.440241724335413,2288.43166058883,2299.019947851364
total,Box-Jenkins,AR(1),31.942242951492393,42.88773929080384,8.835728326294472,9.47702571057784,2341.809994488474,2352.4101629546562
total,Exponential Smoothing,Simple Exponential Smoothing,36.39055910874026,47.90110970828348,10.051789021737937,10.915193729377444,,
total,Baseline,Naive,36.39055946041668,47.901110121091776,10.051789117721054,10.915193844388604,,
total,Exponential Smoothing,Holt Linear Trend,36.42460132823215,47.93725606254421,10.061342441441697,10.926340811836745,,
total,Box-Jenkins,"ARIMA(1,1,1)",53.54349167396028,63.88255009367445,15.06266853765165,16.7454270437856,2336.5650941971794,2350.6669059537066
transportation,Machine Learning,MLP Neural Network Tuned,0.02834488559576491,0.03764503415860245,4.5650577442347595,4.718938556606835,,
transportation,Box-Jenkins,AR(1),0.03210016822588604,0.0377943647778907,5.380697013413718,5.33111493336807,-949.7314140168098,-939.1312455506272
transportation,Box-Jenkins,AR(2),0.03227435718686133,0.03801264239169589,5.419008006189313,5.360091479808293,-945.8447150252205,-931.7269986751747
transportation,Box-Jenkins,"ARMA(1,1)",0.03228719386368176,0.03802414396959261,5.421026496968388,5.3624069455398935,-945.8994320768957,-931.7817157268499
transportation,Box-Jenkins,MA(2),0.03391650187540539,0.0396239256084602,5.7241620413612,5.6337109447508045,-921.7548238427569,-907.6530120862298
transportation,Machine Learning,Random Forest,0.03371348954707835,0.041416581383324734,5.433321816917253,5.596274269889687,,
transportation,Box-Jenkins,MA(1),0.034903774280442695,0.041445488040715,5.914283067474816,5.795050780382951,-890.6697549037973,-880.081467641263
transportation,Baseline,Seasonal Naive,0.03467810750000001,0.04394735020234413,5.680589816330627,5.80671770991826,,
transportation,Machine Learning,Random Forest Tuned,0.03692092566198591,0.04608677756411638,5.904048974779261,6.145978568079078,,
transportation,Machine Learning,Gradient Boosting Tuned,0.03789162653623709,0.04792113464452027,6.0482988196356615,6.315724815998074,,
transportation,Baseline,12-Month Rolling Average,0.03902205694444446,0.04881217051445775,6.242208269478578,6.5078000439687065,,
transportation,Exponential Smoothing,Holt Linear Trend,0.039726868041494064,0.050105547938565684,6.341956130659209,6.630532525072487,,
transportation,Exponential Smoothing,Simple Exponential Smoothing,0.03976911655100146,0.050175691934429716,6.348215187232865,6.637906455961962,,
transportation,Machine Learning,Decision Tree,0.0440747196794872,0.053469401453080365,7.1211758289593545,7.320988137886849,,
transportation,Box-Jenkins,"ARIMA(2,1,1)",0.042382481594653854,0.053804801383277236,6.744612832646711,7.100595654358412,-961.9674601898116,-944.3401954941527
transportation,Box-Jenkins,"ARIMA(1,1,1)",0.043586600183977475,0.05531155041126531,6.930063578418998,7.310705537631162,-953.9684015660099,-939.8665898094828
transportation,Machine Learning,Gradient Boosting,0.04618845132941263,0.05747269221408921,7.351523543654659,7.775226241772561,,
transportation,Machine Learning,MLP Neural Network,0.049246710525728155,0.05896990395465418,7.924149109099647,8.384032655344038,,
transportation,Box-Jenkins,"SARIMA(1,0,1)(1,1,1,12)",0.05534028732588379,0.06106173653287426,9.034946267967952,9.545150404747133,-976.3082904120798,-955.7322166383532
transportation,Exponential Smoothing,Holt-Winters Additive,0.06004887250704147,0.06529848690950134,9.815737475259144,10.403443671589569,,
transportation,Baseline,Naive,0.06440620999999998,0.07503729954125102,10.336465807422652,11.086591154591186,,
transportation,Box-Jenkins,"SARIMA(1,1,1)(1,1,1,12)",0.08128591263680375,0.08671789170111617,13.317187069625838,14.381915132801515,-961.3514200839176,-940.8017199790291
