date,series,actual
2025-09-01,total,346.20216892999997
2025-10-01,total,320.58800988
2025-11-01,total,299.02180516
2025-12-01,total,337.71572686
2026-01-01,total,355.94017295
2026-02-01,total,323.03452279000004
2003-01-01,residential,124.2727877
2003-02-01,residential,110.93736996
2003-03-01,residential,99.56131168
2003-04-01,residential,83.44824421
2003-05-01,residential,87.80437208000001
2003-06-01,residential,101.28579246
2003-07-01,residential,130.67385672
2003-08-01,residential,134.46779929
2003-09-01,residential,113.84898342999999
2003-10-01,residential,89.78085958999999
2003-11-01,residential,86.65868148
2003-12-01,residential,113.0838514
2004-01-01,residential,127.12138323
2004-02-01,residential,112.46405547
2004-03-01,residential,98.94720745000001
2004-04-01,residential,85.37686512
2004-05-01,residential,90.59821162
2004-06-01,residential,112.33513296
2004-07-01,residential,129.30534717999998
2004-08-01,residential,126.42333984
2004-09-01,residential,112.33769377
2004-10-01,residential,93.46616898
2004-11-01,residential,89.64974085
2004-12-01,residential,113.95643153
2005-01-01,residential,125.28785857
2005-02-01,residential,106.6669134
2005-03-01,residential,104.06520308
2005-04-01,residential,86.7491599
2005-05-01,residential,87.38411153
2005-06-01,residential,116.62743754
2005-07-01,residential,144.47633645
2005-08-01,residential,146.90477969
2005-09-01,residential,126.51563542000001
2005-10-01,residential,102.68587866
2005-11-01,residential,91.68657128000001
2005-12-01,residential,120.17722149
2006-01-01,residential,120.41884510999999
2006-02-01,residential,104.51106304
2006-03-01,residential,104.95519201
2006-04-01,residential,89.37409543
2006-05-01,residential,93.99995079
2006-06-01,residential,118.81530771999999
2006-07-01,residential,147.33832912
2006-08-01,residential,150.06442521
2006-09-01,residential,116.07216359
2006-10-01,residential,96.24621398000001
2006-11-01,residential,94.84285118
2006-12-01,residential,114.88159882
2007-01-01,residential,125.28623581
2007-02-01,residential,121.46424918
2007-03-01,residential,105.69475969999999
2007-04-01,residential,90.28204653
2007-05-01,residential,96.38885378
2007-06-01,residential,117.41759514
2007-07-01,residential,139.02702976
2007-08-01,residential,150.10149426
2007-09-01,residential,129.51202449
2007-10-01,residential,103.75392219
2007-11-01,residential,95.90483059
2007-12-01,residential,117.40795458000001
2008-01-01,residential,133.36844195999998
2008-02-01,residential,118.55364589
2008-03-01,residential,107.16248294
2008-04-01,residential,92.16589406
2008-05-01,residential,92.24562751
2008-06-01,residential,121.37587566
2008-07-01,residential,143.17915198
2008-08-01,residential,138.4599164
2008-09-01,residential,117.07813536
2008-10-01,residential,96.1105902
2008-11-01,residential,95.76649248
2008-12-01,residential,125.19549051
2009-01-01,residential,136.22878303
2009-02-01,residential,115.21223343999999
2009-03-01,residential,106.50136115
2009-04-01,residential,91.63116242
2009-05-01,residential,94.31217694
2009-06-01,residential,114.39518493
2009-07-01,residential,137.49795889
2009-08-01,residential,138.22267825999998
2009-09-01,residential,115.16338169
2009-10-01,residential,98.55202288000001
2009-11-01,residential,93.02797812
2009-12-01,residential,124.01323123
2010-01-01,residential,147.4998756
2010-02-01,residential,122.84019897
2010-03-01,residential,111.78998549
2010-04-01,residential,88.04643494000001
2010-05-01,residential,94.84300591
2010-06-01,residential,127.49596897
2010-07-01,residential,154.68871374
2010-08-01,residential,154.05343098999998
2010-09-01,residential,124.58273197
2010-10-01,residential,96.68803347
2010-11-01,residential,93.16613873
2010-12-01,residential,130.01388415
2011-01-01,residential,145.06168779
2011-02-01,residential,120.10996908
2011-03-01,residential,104.92212296
2011-04-01,residential,93.70163929
2011-05-01,residential,97.68909798
2011-06-01,residential,125.98278519
2011-07-01,residential,154.7289198
2011-08-01,residential,153.7387326
2011-09-01,residential,122.71949868
2011-10-01,residential,94.58512049
2011-11-01,residential,93.22049602000001
2011-12-01,residential,116.34102312
2012-01-01,residential,125.88148337
2012-02-01,residential,107.97535744000001
2012-03-01,residential,99.36168572
2012-04-01,residential,88.10320952999999
2012-05-01,residential,100.89511737000001
2012-06-01,residential,122.93413138000001
2012-07-01,residential,154.57907102000001
2012-08-01,residential,147.94104266
2012-09-01,residential,118.83134204000001
2012-10-01,residential,96.66943338
2012-11-01,residential,97.15523195
2012-12-01,residential,114.18760211
2013-01-01,residential,131.78483713
2013-02-01,residential,113.11388543
2013-03-01,residential,112.09672547999999
2013-04-01,residential,95.54085075
2013-05-01,residential,95.19159812
2013-06-01,residential,117.98210632
2013-07-01,residential,143.85474883999998
2013-08-01,residential,138.06506954999998
2013-09-01,residential,121.41921581999999
2013-10-01,residential,98.89301479
2013-11-01,residential,97.90401594
2013-12-01,residential,128.96606076
2014-01-01,residential,146.51144233
2014-02-01,residential,128.47535803
2014-03-01,residential,114.23280446
2014-04-01,residential,92.28971503000001
2014-05-01,residential,95.72676781
2014-06-01,residential,118.04903675
2014-07-01,residential,137.02796944
2014-08-01,residential,135.8297966
2014-09-01,residential,120.74134746
2014-10-01,residential,98.03768189
2014-11-01,residential,99.48577105
2014-12-01,residential,120.80062015
2015-01-01,residential,137.76485879
2015-02-01,residential,123.83772058
2015-03-01,residential,117.16711068
2015-04-01,residential,90.19918738
2015-05-01,residential,95.16053288
2015-06-01,residential,120.29975350999999
2015-07-01,residential,146.03829057000002
2015-08-01,residential,144.51514459
2015-09-01,residential,125.41666628
2015-10-01,residential,99.34904737
2015-11-01,residential,92.67774922
2015-12-01,residential,111.67043688999999
2016-01-01,residential,130.97184829
2016-02-01,residential,115.959425
2016-03-01,residential,100.22657541000001
2016-04-01,residential,88.24434036
2016-05-01,residential,94.19802969999999
2016-06-01,residential,125.21123945
2016-07-01,residential,154.40932698
2016-08-01,residential,156.44152359999998
2016-09-01,residential,129.36293162
2016-10-01,residential,101.50796582
2016-11-01,residential,93.24409126
2016-12-01,residential,121.28085551
2017-01-01,residential,129.21249867
2017-02-01,residential,100.96823570000001
2017-03-01,residential,103.09552026
2017-04-01,residential,90.72450386
2017-05-01,residential,98.28115882
2017-06-01,residential,122.54316906
2017-07-01,residential,149.90048178
2017-08-01,residential,142.00716652999998
2017-09-01,residential,118.77878233
2017-10-01,residential,102.81104302
2017-11-01,residential,98.32056548999999
2017-12-01,residential,122.00461658
2018-01-01,residential,148.91738370000002
2018-02-01,residential,113.75128019
2018-03-01,residential,107.21843098999999
2018-04-01,residential,95.45361577
2018-05-01,residential,103.84799899
2018-06-01,residential,129.9128992
2018-07-01,residential,153.56605021
2018-08-01,residential,153.49649426000002
2018-09-01,residential,128.90979255
2018-10-01,residential,107.04875285
2018-11-01,residential,103.7899565
2018-12-01,residential,123.18040373999999
2019-01-01,residential,133.31755017
2019-02-01,residential,116.60800237000001
2019-03-01,residential,112.60541506
2019-04-01,residential,90.3838218
2019-05-01,residential,100.33107128
2019-06-01,residential,120.11616993
2019-07-01,residential,153.74888905999998
2019-08-01,residential,150.08305574000002
2019-09-01,residential,131.56672667
2019-10-01,residential,107.99720819999999
2019-11-01,residential,102.45292208000001
2019-12-01,residential,121.07807664
2020-01-01,residential,124.4422113
2020-02-01,residential,112.1228819
2020-03-01,residential,104.25494269
2020-04-01,residential,97.75920303999999
2020-05-01,residential,105.68094307999999
2020-06-01,residential,131.53805061
2020-07-01,residential,167.10814157000002
2020-08-01,residential,158.93914743000002
2020-09-01,residential,127.82389319
2020-10-01,residential,105.51393610000001
2020-11-01,residential,99.66093654
2020-12-01,residential,129.76075834
2021-01-01,residential,136.68235148000002
2021-02-01,residential,126.54955736999999
2021-03-01,residential,114.37398006000001
2021-04-01,residential,93.89087998
2021-05-01,residential,101.16029411000001
2021-06-01,residential,132.15348565
2021-07-01,residential,154.49457173
2021-08-01,residential,157.79177207
2021-09-01,residential,131.11130373
2021-10-01,residential,103.9922144
2021-11-01,residential,100.59096639
2021-12-01,residential,117.69550509000001
2022-01-01,residential,140.50406917
2022-02-01,residential,125.34230282
2022-03-01,residential,111.43858992
2022-04-01,residential,97.43184407000001
2022-05-01,residential,110.07073408
2022-06-01,residential,136.31028781
2022-07-01,residential,164.27657789
2022-08-01,residential,160.27146691
2022-09-01,residential,129.2413183
2022-10-01,residential,99.79219117000001
2022-11-01,residential,103.15207773
2022-12-01,residential,131.40170248
2023-01-01,residential,131.63774262
2023-02-01,residential,112.10518081000001
2023-03-01,residential,110.41692316999999
2023-04-01,residential,96.19585958
2023-05-01,residential,100.23051299000001
2023-06-01,residential,121.31961100000001
2023-07-01,residential,159.71483353
2023-08-01,residential,161.46019193
2023-09-01,residential,132.80700629
2023-10-01,residential,103.31377418
2023-11-01,residential,101.90658739
2023-12-01,residential,118.91696042000001
2024-01-01,residential,142.35352686000002
2024-02-01,residential,115.47719178999999
2024-03-01,residential,102.20304497000001
2024-04-01,residential,94.67402447
2024-05-01,residential,107.60471543
2024-06-01,residential,138.92046023999998
2024-07-01,residential,164.83324943
2024-08-01,residential,159.09842282
2024-09-01,residential,127.34005411
2024-10-01,residential,106.08327951
2024-11-01,residential,98.78189253
2024-12-01,residential,125.50372372
2025-01-01,residential,152.32858847
2025-02-01,residential,127.51728971
2025-03-01,residential,108.96872276
2025-04-01,residential,97.30629017
2025-05-01,residential,104.85586683
2025-06-01,residential,135.82211661
2025-07-01,residential,168.01064976
2025-08-01,residential,155.20386061
2025-09-01,residential,126.77750872
2025-10-01,residential,107.31318515999999
2025-11-01,residential,101.22240743
2025-12-01,residential,129.66674412
2026-01-01,residential,145.11501144
2026-02-01,residential,128.05468195
2003-01-01,commercial,98.55746847
2003-02-01,commercial,91.23891884
2003-03-01,commercial,92.57967309
2003-04-01,commercial,89.68469151999999
2003-05-01,commercial,95.81883157
2003-06-01,commercial,102.40724564
2003-07-01,commercial,115.23291689999999
2003-08-01,commercial,116.22446136
2003-09-01,commercial,106.47270316000001
2003-10-01,commercial,100.03626335
2003-11-01,commercial,92.60474302
2003-12-01,commercial,97.86968408999999
2004-01-01,commercial,99.28110271000001
2004-02-01,commercial,93.67746255
2004-03-01,commercial,95.33087993
2004-04-01,commercial,93.53182545
2004-05-01,commercial,100.87928578
2004-06-01,commercial,108.12225804
2004-07-01,commercial,115.49542265
2004-08-01,commercial,114.45249394
2004-09-01,commercial,109.59529408
2004-10-01,commercial,102.32583477
2004-11-01,commercial,95.75266477000001
2004-12-01,commercial,101.98020633
2005-01-01,commercial,100.86215018
2005-02-01,commercial,93.25663985999999
2005-03-01,commercial,98.92367621000001
2005-04-01,commercial,94.43949428
2005-05-01,commercial,99.70162450999999
2005-06-01,commercial,114.10072921999999
2005-07-01,commercial,122.03703200999999
2005-08-01,commercial,124.43615518
2005-09-01,commercial,116.516874
2005-10-01,commercial,108.47438377
2005-11-01,commercial,98.79924860999999
2005-12-01,commercial,103.53101217
2006-01-01,commercial,101.93334533
2006-02-01,commercial,95.71318742
2006-03-01,commercial,101.11544679000001
2006-04-01,commercial,96.55116055
2006-05-01,commercial,106.44198201
2006-06-01,commercial,115.78542304
2006-07-01,commercial,125.54118393
2006-08-01,commercial,127.65472298
2006-09-01,commercial,114.23057436
2006-10-01,commercial,109.00001878
2006-11-01,commercial,101.10366443999999
2006-12-01,commercial,104.67298538
2007-01-01,commercial,106.66743962000001
2007-02-01,commercial,100.75642866000001
2007-03-01,commercial,102.64014808
2007-04-01,commercial,101.05120536999999
2007-05-01,commercial,108.55889122
2007-06-01,commercial,117.35190897000001
2007-07-01,commercial,123.92308607999999
2007-08-01,commercial,130.47468013
2007-09-01,commercial,119.89838511
2007-10-01,commercial,114.48120828
2007-11-01,commercial,104.60326135
2007-12-01,commercial,105.90855314000001
2008-01-01,commercial,109.06127814999999
2008-02-01,commercial,104.39686107
2008-03-01,commercial,103.33463273
2008-04-01,commercial,101.48744971
2008-05-01,commercial,107.47348707
2008-06-01,commercial,119.37296065
2008-07-01,commercial,128.07203466
2008-08-01,commercial,124.19564960000001
2008-09-01,commercial,118.28884717
2008-10-01,commercial,110.84971329
2008-11-01,commercial,102.41468843
2008-12-01,commercial,107.18588253
2009-01-01,commercial,109.64316445
2009-02-01,commercial,99.01067533
2009-03-01,commercial,102.45809406000001
2009-04-01,commercial,99.80415979
2009-05-01,commercial,105.21181067
2009-06-01,commercial,114.83207907
2009-07-01,commercial,121.32302953
2009-08-01,commercial,123.77673329000001
2009-09-01,commercial,114.90022900999999
2009-10-01,commercial,108.51364705
2009-11-01,commercial,98.90126047999999
2009-12-01,commercial,108.47764119
2010-01-01,commercial,108.12050556999999
2010-02-01,commercial,100.74697804
2010-03-01,commercial,101.75135585999999
2010-04-01,commercial,99.79036122000001
2010-05-01,commercial,106.1721027
2010-06-01,commercial,119.38499993
2010-07-01,commercial,127.92396458
2010-08-01,commercial,129.1663266
2010-09-01,commercial,119.13672305
2010-10-01,commercial,108.46080315
2010-11-01,commercial,101.51893623000001
2010-12-01,commercial,108.02630701999999
2011-01-01,commercial,108.25063314
2011-02-01,commercial,99.79553835
2011-03-01,commercial,104.25705814
2011-04-01,commercial,100.50621559000001
2011-05-01,commercial,107.62453459
2011-06-01,commercial,118.17017391
2011-07-01,commercial,128.06543317
2011-08-01,commercial,129.36847817
2011-09-01,commercial,117.95131165000001
2011-10-01,commercial,108.64956376
2011-11-01,commercial,100.55241991
